State,!,!=,$,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,[,],basic,break,do,else,false,id,if,num,real,true,while,{,||,},block,bool,decl,decls,equality,expr,factor,join,loc,program,program',rel,stmt,stmts,term,type,unary
195,,,,,,s229,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,
196,,r38,,r38,,,r38,r38,r38,r38,r38,,,,r38,,,,,,,,,,,,,,,,,r38,,,,,,,,,,,,,,,,,,
197,s129,,,,s132,,,,s135,,,,,,,,,,,,,,,s131,s139,,s130,s134,s136,,,,,,,,,,,140,,128,,,,,,,,230
198,s129,,,,s132,,,,s135,,,,,,,,,,,,,,,s131,s139,,s130,s134,s136,,,,,,,,,,,140,,128,,,,,,,,231
199,s129,,,,s132,,,,s135,,,,,,,,,,,,,,,s131,s139,,s130,s134,s136,,,,,,,,,,,140,,128,,,,,,232,,133
200,s129,,,,s132,,,,s135,,,,,,,,,,,,,,,s131,s139,,s130,s134,s136,,,,,,,,,,,140,,128,,,,,,233,,133
201,,,,,,s234,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,s235,,,,s21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,s236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,r16,,,,,,,r16,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,r4,r4,r4,,,r4,r4,,,,r4,r4,,r4,,,,237,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,s26,s29,,,s12,s31,,,,s30,s28,,,27,,,,,,,,25,,,,238,,,,
208,,,,,s239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,s240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,s241,,,,,,,r11,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,s242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,r17,,r17,,r17,r17,r17,r17,r17,,r17,r17,,r17,r17,r17,r17,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,s243,,,,,,,,,,,,,,,,,,,,,,,
214,,r37,,r37,,r37,r37,r37,r37,r37,,,,,r37,,,,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,
215,,,,,,s244,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,
216,,r38,,r38,,r38,r38,r38,r38,r38,,,,,r38,,,,,,,,,,,,,,,,,r38,,,,,,,,,,,,,,,,,,
217,s162,,,,s165,,,,s168,,,,,,,,,,,,,,,s164,s172,,s163,s167,s169,,,,,,,,,,,173,,161,,,,,,,,245
218,s162,,,,s165,,,,s168,,,,,,,,,,,,,,,s164,s172,,s163,s167,s169,,,,,,,,,,,173,,161,,,,,,,,246
219,s162,,,,s165,,,,s168,,,,,,,,,,,,,,,s164,s172,,s163,s167,s169,,,,,,,,,,,173,,161,,,,,,247,,166
220,s162,,,,s165,,,,s168,,,,,,,,,,,,,,,s164,s172,,s163,s167,s169,,,,,,,,,,,173,,161,,,,,,248,,166
221,s39,,,,s43,,,,s46,,,,,,,,,,,,,,,s42,s51,,s41,s45,s48,,,,,,249,,,54,49,53,52,38,,,47,,,50,,44
222,,,,,,,,,,,,,,,,,,,,,r15,r15,r15,,r15,r15,,,,r15,r15,,r15,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,s8,r9,r9,,,r9,r9,,,,r9,r9,,r9,,,6,,,,,,,,,,,250,,7,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s251,,,,,,,,,,,,,,,,,,,,
225,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,252,,,79,74,78,77,63,,,72,,,75,,69
226,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,253,,,79,74,78,77,63,,,72,,,75,,69
227,,,,,,,,,,,,,,,,,,,,,s10,s14,,,s12,s16,,,,s15,s13,,,11,,,,,,,,9,,,,254,,,,
228,,,,,,,,,,,,,,,,,,,s255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,r40,,r40,,,r40,r40,r40,r40,r40,,,,r40,,,,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,
230,,r34,,r34,,,r34,r34,r34,r34,r34,,,,r34,,,,,,,,,,,,,,,,,r34,,,,,,,,,,,,,,,,,,
231,,r35,,r35,,,r35,r35,r35,r35,r35,,,,r35,,,,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,,,,,
232,,r31,,r31,,,s197,r31,r31,s198,r31,,,,r31,,,,,,,,,,,,,,,,,r31,,,,,,,,,,,,,,,,,,
233,,r32,,r32,,,s197,r32,r32,s198,r32,,,,r32,,,,,,,,,,,,,,,,,r32,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,s256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,s39,,,,s43,,,,s46,,,,,,,,,,,,,,,s42,s51,,s41,s45,s48,,,,,,257,,,54,49,53,52,38,,,47,,,50,,44
236,,,,,,,,,,,,,,,,,,,,,,,r15,,,,,,,r15,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,s8,r9,r9,,,r9,r9,,,,r9,r9,,r9,,,6,,,,,,,,,,,258,,7,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s259,,,,,,,,,,,,,,,,,,,,
239,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,260,,,79,74,78,77,63,,,72,,,75,,69
240,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,261,,,79,74,78,77,63,,,72,,,75,,69
241,,,,,,,,,,,,,,,,,,,,,s26,s29,,,s12,s31,,,,s30,s28,,,27,,,,,,,,25,,,,262,,,,
242,,,,,,,,,,,,,,,,,,,,,r14,r14,,,r14,r14,,,,r14,r14,,r14,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,s263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,r40,,r40,,r40,r40,r40,r40,r40,,,,,r40,,,,,,,,,,,,,,,,,r40,,,,,,,,,,,,,,,,,,
245,,r34,,r34,,r34,r34,r34,r34,r34,,,,,r34,,,,,,,,,,,,,,,,,r34,,,,,,,,,,,,,,,,,,
246,,r35,,r35,,r35,r35,r35,r35,r35,,,,,r35,,,,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,,,,,
247,,r31,,r31,,r31,s217,r31,r31,s218,,,,,r31,,,,,,,,,,,,,,,,,r31,,,,,,,,,,,,,,,,,,
248,,r32,,r32,,r32,s217,r32,r32,s218,,,,,r32,,,,,,,,,,,,,,,,,r32,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,s264,,,,,,,,,,,,,,,,,,,,,s85,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,s10,s14,,,s12,s16,,,,s15,s13,,s265,11,,,,,,,,9,,,,18,,,,
251,,,,,s266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,s267,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,
253,,,,,,s268,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,r12,r12,,,r12,r12,,,,r12,r12,,r12,,,,,,,,,,,,,,,,,
255,,r17,,r17,,,r17,r17,r17,r17,r17,,,,r17,,,r17,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r14,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,s269,,,,,,,,,,,,,,,,,,,,,s85,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,s10,s14,,,s12,s16,,,,s15,s13,,s270,11,,,,,,,,9,,,,18,,,,
259,,,,,s271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,s272,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,
261,,,,,,s273,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r12,,,,,,,,,,,,,,,,,,,,
263,,r17,,r17,,r17,r17,r17,r17,r17,,,,,r17,,,r17,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,r10,r10,r10,,r10,r10,,,,r10,r10,,r10,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,r2,r2,r2,,r2,r2,,,,r2,r2,,r2,,,,,,,,,,,,,,,,,
266,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,274,,,79,74,78,77,63,,,72,,,75,,69
267,,,,,,,,,,,,,,,,,,,,,s185,s188,,,s12,s190,,,,s189,s187,,,186,,,,,,,,184,,,,275,,,,
268,,,,,,,,,,,,,,,,,,,,,s185,s188,,,s12,s190,,,,s189,s187,,,186,,,,,,,,184,,,,276,,,,
269,,,,,,,,,,,,,,,,,,,,,,,r10,,,,,,,r10,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,r2,,,,,,,,,,,,,,,,,,,,
271,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,277,,,79,74,78,77,63,,,72,,,75,,69
272,,,,,,,,,,,,,,,,,,,,,s204,s207,,,s12,s209,,,,s208,s206,,,205,,,,,,,,203,,,,278,,,,
273,,,,,,,,,,,,,,,,,,,,,s204,s207,,,s12,s209,,,,s208,s206,,,205,,,,,,,,203,,,,279,,,,
274,,,,,,s280,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,r13,r13,r13,,r13,r13,,,,r13,r13,,r13,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,r11,r11,s281,,r11,r11,,,,r11,r11,,r11,,,,,,,,,,,,,,,,,
277,,,,,,s282,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,r13,,,,,,,r13,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,s283,,,,,,,r11,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,s284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,s185,s188,,,s12,s190,,,,s189,s187,,,186,,,,,,,,184,,,,285,,,,
282,,,,,,,,,,,s286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,s204,s207,,,s12,s209,,,,s208,s206,,,205,,,,,,,,203,,,,287,,,,
284,,,,,,,,,,,,,,,,,,,,,r14,r14,r14,,r14,r14,,,,r14,r14,,r14,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,r12,r12,r12,,r12,r12,,,,r12,r12,,r12,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,r14,,,,,,,r14,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,r12,,,,,,,r12,,,,,,,,,,,,,,,,,,,,
