State,!,!=,$,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,[,],basic,break,do,else,false,id,if,num,real,true,while,{,||,},block,bool,decl,decls,equality,expr,factor,join,loc,program,program',rel,stmt,stmts,term,type,unary
48,,r44,,r44,,,r44,r44,r44,r44,r44,r44,r44,,r44,r44,r44,,,,,,,,,,,,,,,r44,,,,,,,,,,,,,,,,,,
49,,r30,,r30,,,,s90,s92,,r30,s91,s89,,r30,s93,s94,,,,,,,,,,,,,,,r30,,,,,,,,,,,,,,,,,,
50,,r33,,r33,,,s95,r33,r33,s96,r33,r33,r33,,r33,r33,r33,,,,,,,,,,,,,,,r33,,,,,,,,,,,,,,,,,,
51,,r18,,r18,,,r18,r18,r18,r18,r18,r18,r18,,r18,r18,r18,r18,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,
52,,,,s97,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,
53,,r39,,r39,,,r39,r39,r39,r39,r39,r39,r39,,r39,r39,r39,,,,,,,,,,,,,,,r39,,,,,,,,,,,,,,,,,,
54,,s99,,r22,,,,,,,r22,,,,s98,,,,,,,,,,,,,,,,,r22,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,s10,s14,,,s12,s16,,,,s15,s13,,s100,11,,,,,,,,9,,,,18,,,,
56,s39,,,,s43,,,,s46,,,,,,,,,,,,,,,s42,s51,,s41,s45,s48,,,,,,101,,,54,49,53,52,38,,,47,,,50,,44
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,s8,r9,r9,,,r9,r9,,,,r9,r9,,r9,,,6,,,,,,,,,,,102,,7,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s103,,,,,,,,,,,,,,,,,,,,
60,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,104,,,79,74,78,77,63,,,72,,,75,,69
61,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,105,,,79,74,78,77,63,,,72,,,75,,69
62,,,,,s106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,r41,,r41,,r41,r41,r41,r41,r41,,r41,r41,,r41,r41,r41,s107,,,,,,,,,,,,,,r41,,,,,,,,,,,,,,,,,,
64,s64,,,,s68,,,,s71,,,,,,,,,,,,,,,s67,s76,,s66,s70,s73,,,,,,,,,,,78,,63,,,,,,,,108
